web-scraper-order,web-scraper-start-url,店铺名称,详情页,详情页-href,店铺评分,人均消费,点评数,店铺地址,店铺电话,营业时间,配套服务,店铺菜系,点评标签,推荐菜1,推荐菜2,推荐菜3
"1590849207-583","https://gz.meituan.com/meishi/pn28/","阿巴多冒菜米线餐厅","阿巴多冒菜米线餐厅4分772条评论花都区龙珠路36号人均￥30","https://www.meituan.com/meishi/40954097/","4分","30","772","地址：花都区龙珠路36号","020-86965866","营业时间：周一至周日 10:00-21:30","null","广州川湘菜","味道赞(122)服务热情(77)性价比高(43)上菜快(38)回头客(21)不用排队(20)分量足(17)菜品精致(15)肉类好(8)主食赞(3)","鲜肉小锅米线","红烧牛肉米线","傣味酸辣米线"
"1590847282-381","https://gz.meituan.com/meishi/pn42/","火车头法国西餐厅","火车头法国西餐厅3.8分9286条评论荔湾区沙面北街1号之一（文化公园E出口附近,近人民桥）人均￥149","https://www.meituan.com/meishi/2391618/","3.8分","149","9286","地址：荔湾区沙面北街1号之一（文化公园E出口附近,近人民桥）","020-81218882","营业时间：周一至周日 11:00-23:00","提供wifi停车位","广州西餐","上菜快(182)回头客(68)不用排队(34)闺蜜聚会(24)朋友聚餐(23)家庭聚餐(12)文艺清新(11)下午茶(5)到店自提(3)店内消毒(1)","法式鸭胸","薯条","法式香煎鹅肝"
"1590846983-344","https://gz.meituan.com/meishi/pn44/","湘裕楼（大观南路总店）","湘裕楼（大观南路总店）4分888条评论天河区大观南路2号鼎福休闲酒店首层人均￥44","https://www.meituan.com/meishi/1449345/","null","null","null","null","null","null","null","null","null","null","null","null"
"1590847094-359","https://gz.meituan.com/meishi/pn43/","潮锅","潮锅5分902条评论荔湾区西湾路多利街2号（岭南湾畔）人均￥60","https://www.meituan.com/meishi/5197917/","null","null","null","null","null","null","null","null","null","null","null","null"
"1590845090-145","https://gz.meituan.com/meishi/pn58/","首尔家韩国料理烤肉","首尔家韩国料理烤肉4.1分727条评论荔湾区中山八路16-10，11号（近荔景商城华润万家超市侧）人均￥50","https://www.meituan.com/meishi/4755658/","4.1分","50","727","地址：荔湾区中山八路16-10，11号（近荔景商城华润万家超市侧）","020-81828330","营业时间：周二至周日 10:00-14:00 16:30-22:00  周一 16:00-22:00","提供wifi","广州烧烤烤串","服务热情(181)味道赞(98)环境很好(45)肉类好(40)菜品不错(40)性价比高(39)上菜快(30)回头客(25)分量少(24)主食差(7)","五花肉","调味牛排","石锅拌饭"
"1590846178-259","https://gz.meituan.com/meishi/pn50/","陶苑酒家","陶苑酒家3.6分928条评论越秀区二沙岛晴波路43号（近广州市政协）人均￥76","https://www.meituan.com/meishi/619638/","3.6分","76","928","地址：越秀区二沙岛晴波路43号（近广州市政协）","020-37595377","营业时间：周一至周日 08:30-14:30 17:00-21:00","提供wifi停车位","广州粤港菜","上菜快(36)停车方便(24)回头客(23)不用排队(8)海鲜棒(7)到店自提(8)有江景(8)家庭聚餐(3)请客(3)交通不便(7)","点心","当归凤爪","水晶鸡"
"1590845850-225","https://gz.meituan.com/meishi/pn52/","嘴嘴香巴辣香锅（万达店）","嘴嘴香巴辣香锅（万达店）4.1分2202条评论白云区云城东路501号166房人均￥53","https://www.meituan.com/meishi/1153094/","4.1分","53","2202","地址：白云区云城东路501号166房","020-36685821","营业时间：周一至周日 11:00-22:30","提供wifi停车位","广州香锅烤鱼","菜品精致(147)分量足(118)上菜快(99)回头客(67)海鲜棒(34)肉类好(17)不用排队(6)朋友聚餐(14)到店自提(11)家庭聚餐(3)","酸菜鱼","手撕包菜","烤鱼"
"1590843643-25","https://gz.meituan.com/meishi/pn66/","盛辉餐厅","盛辉餐厅5分489条评论天河区长兴路长湴市场54-56号人均￥42","https://www.meituan.com/meishi/51530329/","5分","42","489","地址：天河区长兴路长湴市场54-56号","13424040006","营业时间：周一至周日 11:00-23:00","提供wifi","广州香锅烤鱼","味道赞(23)服务热情(16)菜品不错(14)分量足(11)性价比高(9)价格实惠(6)肉类好(5)海鲜棒(4)环境一般(4)到店自提(2)","烤活鱼","土豆","蘑芋"
"1590846340-276","https://gz.meituan.com/meishi/pn49/","金味楼酒家（执信店）","金味楼酒家（执信店）4.4分1770条评论越秀区执信南路116号1-2楼（近中山大学北校区东门，广州鸣虹酒店楼下）人均￥47","https://www.meituan.com/meishi/1710204/","4.4分","47","1770","地址：越秀区执信南路116号1-2楼（近中山大学北校区东门，广州鸣虹酒店楼下）","020-87662238","营业时间：周一至周日 11:00-14:30 17:00-21:00","提供wifi停车位","广州粤港菜","分量足(249)菜品精致(245)上菜快(149)回头客(100)肉类好(42)停车免费(14)不用排队(13)交通便利(12)海鲜棒(4)到店自提(18)","招牌烧鸡","金牌烧鹅","清蒸海边鱼"
"1590847573-412","https://gz.meituan.com/meishi/pn40/","好客家（东方宝泰店）","好客家（东方宝泰店）3.5分3645条评论天河区林和中路63号东方宝泰购物广场负三层编号为第3049场地人均￥59","https://www.meituan.com/meishi/4293851/","3.5分","59","3645","地址：天河区林和中路63号东方宝泰购物广场负三层编号为第3049场地","020-38615023","营业时间：周一至周日 11:00-14:30 17:00-21:00","提供wifi停车位","广州台湾/客家菜","上菜快(234)回头客(81)不用排队(29)海鲜棒(9)停车免费(8)家庭聚餐(8)到店自提(4)朋友聚餐(4)闺蜜聚会(3)分量少(405)","客家煎酿豆腐","黑松露土猪汤","招牌客家咸鸡"
"1590848394-498","https://gz.meituan.com/meishi/pn34/","万岁寿司（东圃店）","万岁寿司（东圃店）3.7分11382条评论天河区东圃大马路4号自编B栋二层B101房人均￥68","https://www.meituan.com/meishi/6468630/","3.7分","68","11382","地址：天河区东圃大马路4号自编B栋二层B101房","020-32369821","营业时间：周一至周日 11:00-21:00","提供wifi停车位","广州日本菜","回头客(634)上菜快(433)不用排队(168)停车方便(19)到店自提(56)朋友聚餐(42)闺蜜聚会(12)家庭聚餐(10)下午茶(4)店内消毒(1)","厚切深海三文鱼刺身","现烧七味三文鱼寿司","盐烧三文鱼边腩"
"1590851096-782","https://gz.meituan.com/meishi/pn14/","袁记饺子云吞连锁店（龙津分店）","袁记饺子云吞连锁店（龙津分店）4.6分3241条评论荔湾区龙津中路386号（近华贵路）人均￥19","https://www.meituan.com/meishi/4099453/","4.6分","19","3241","地址：荔湾区龙津中路386号（近华贵路）","13422072011/15011777231","营业时间：周一至周日 07:00-19:00","提供wifi","广州小吃快餐","味道赞(436)回头客(125)交通便利(82)肉类好(62)分量足(37)菜品精致(10)上菜快(6)不用排队(4)现做现卖(6)到店自提(3)","马蹄鲜肉饺","玉米鲜肉云吞","紫菜马蹄鲜肉云吞"
"1590845308-168","https://gz.meituan.com/meishi/pn56/","花影町寿司店（花田贰店）","花影町寿司店（花田贰店）3.5分3526条评论海珠区隔山新街玫瑰园玫瑰二街33号（岭南中学门口正对面）人均￥32","https://www.meituan.com/meishi/1416510/","3.5分","32","3526","地址：海珠区隔山新街玫瑰园玫瑰二街33号（岭南中学门口正对面）","020-84419049/13925136482","营业时间：周一,周三至周日 17:00-22:30","提供wifi停车位","广州日本菜","回头客(99)不用排队(22)有萌宠(3)现做现卖(18)朋友聚餐(15)弄堂小店(8)到店自提(7)文艺清新(5)店内消毒(2)上菜慢(140)","寿司","鳗鱼","三文鱼腩"
"1590847101-360","https://gz.meituan.com/meishi/pn43/","郑汉叉烧（厦滘店）","郑汉叉烧（厦滘店）3.5分1699条评论番禺区厦滘南路启梦创业广场附近（3号地铁夏窖地铁站A出口对面）人均￥23","https://www.meituan.com/meishi/40499464/","null","null","null","null","null","null","null","null","null","null","null","null"
"1590850115-679","https://gz.meituan.com/meishi/pn22/","大龙燚火锅（建六店）","大龙燚火锅（建六店）4.2分2308条评论越秀区建设六马路誉海食街1号二楼人均￥125","https://www.meituan.com/meishi/159636258/","4.2分","125","2308","地址：越秀区建设六马路誉海食街1号二楼","020-83772987/83706693","营业时间：周一至周日 11:00-02:00","提供wifi","广州火锅","服务热情(86)味道赞(77)环境很好(63)菜品不错(62)回头客(35)分量足(29)肉类好(28)性价比低(52)价格高(19)上菜慢(9)","深海手打鲜虾滑","爽口毛肚","黑椒嫩牛排"
"1590843702-31","https://gz.meituan.com/meishi/pn65/","任性厨房·刺身寿司","任性厨房·刺身寿司5分413条评论越秀区越秀南路208号美饰居港润酒店4楼（地铁1号线农讲所A出口）人均￥67","https://www.meituan.com/meishi/52871971/","5分","67","413","地址：越秀区越秀南路208号美饰居港润酒店4楼（地铁1号线农讲所A出口）","020-81533231","营业时间：周一至周日 10:00-14:00 17:00-22:00","提供wifi停车位","广州日本菜","服务热情(15)价格实惠(11)味道赞(10)性价比高(8)环境很好(8)分量足(7)回头客(6)菜品精致(5)空间大(3)装修好看(3)","烤明太子土豆泥","三文鱼刺身","红蟹子沙律"
"1590851945-871","https://gz.meituan.com/meishi/pn7/","十七门重庆老火锅（钟村店）","十七门重庆老火锅（钟村店）5分1904条评论番禺区钟村街钟村市场二楼人均￥81","https://www.meituan.com/meishi/164631746/","5分","81","1904","地址：番禺区钟村街钟村市场二楼","020-39022789","营业时间：周一至周日 11:00-22:00","提供wifi停车位","广州火锅","服务热情(226)味道赞(220)环境很好(167)价格实惠(126)菜品健康(114)高大上(84)回头客(11)上菜快(9)有表演(3)分量少(17)","高钙大骨鸳鸯锅","精品雪花肥牛","内蒙古1米羊肉卷"
"1590851805-856","https://gz.meituan.com/meishi/pn8/","一哥酸菜鱼（京溪太阳城店）","一哥酸菜鱼（京溪太阳城店）4分2800条评论白云区京溪白灰场路北街16号顺兴超市隔壁人均￥42","https://www.meituan.com/meishi/6247432/","4分","42","2800","地址：白云区京溪白灰场路北街16号顺兴超市隔壁","18218885395","营业时间：周一至周日 10:00-21:00","提供wifi","广州川湘菜","菜品精致(348)回头客(174)上菜快(137)海鲜棒(22)不用排队(12)弄堂小店(51)朋友聚餐(18)到店自提(14)工作餐(4)深夜食堂(3)","一哥烤鱼","招牌酸菜鱼","魔芋"
"1590846263-268","https://gz.meituan.com/meishi/pn50/","德尚煌顺德菜（四季天地店）","德尚煌顺德菜（四季天地店）3.7分1078条评论海珠区赤岗北路118号四季天地首层人均￥54","https://www.meituan.com/meishi/41817516/","3.7分","54","1078","地址：海珠区赤岗北路118号四季天地首层","020-34329755/18027485169","营业时间：周一至周日 11:00-14:00 17:00-21:00","提供wifi停车位","广州粤港菜","上菜快(71)肉类好(43)回头客(27)海鲜棒(13)交通便利(6)停车免费(5)朋友聚餐(5)到店自提(3)请客(3)店内消毒(2)","沙姜焗鸡","大良炸牛奶","大锅炆海鲩鱼"
"1590848756-536","https://gz.meituan.com/meishi/pn32/","Salud.欧洲冻酸奶（高德置地冬商场店）","Salud.欧洲冻酸奶（高德置地冬商场店）3.9分1296条评论天河区珠江大道东高德置地广场冬商场522单元（飞扬影院对面）人均￥25","https://www.meituan.com/meishi/51351032/","3.9分","25","1296","地址：天河区珠江大道东高德置地广场冬商场522单元（飞扬影院对面）","020-38619472","营业时间：周一至周日 10:00-22:00","null","广州饮品店","饮品赞(86)菜品精致(50)回头客(28)不用排队(10)上菜快(6)交通便利(4)朋友聚餐(3)到店自提(2)性价比低(126)分量少(44)","冻酸奶","莎奴姆","思慕雪金色缤纷"
"1590846744-318","https://gz.meituan.com/meishi/pn46/","椰林四季（三元里店）","椰林四季（三元里店）3.6分1645条评论白云区三元里大道棠下站（前周记茗点、东江大酒店对面）人均￥69","https://www.meituan.com/meishi/4005267/","3.6分","69","1645","地址：白云区三元里大道棠下站（前周记茗点、东江大酒店对面）","020-36480603","营业时间：周一至周日 11:00-23:00","提供wifi停车位","广州火锅","回头客(68)上菜快(48)肉类好(44)不用排队(21)交通便利(19)停车方便(5)朋友聚餐(8)到店自提(3)性价比低(127)分量少(42)","原味椰子鸡","野生珍珠马蹄","乳鸽窝仔饭"
"1590850748-746","https://gz.meituan.com/meishi/pn17/","诸锣记烤串·羊肉串（五羊新城店）","诸锣记烤串·羊肉串（五羊新城店）4.3分72条评论越秀区寺右新马路87-99单号首层110铺（五羊邨站D出口美豪酒店旁）人均￥65","https://www.meituan.com/meishi/116819283/","4.3分","65","72","地址：越秀区寺右新马路87-99单号首层110铺（五羊邨站D出口美豪酒店旁）","020-87004219","营业时间：周一至周日 11:00-14:00 17:00-02:00","提供wifi","广州烧烤烤串","味道赞(12)服务热情(11)环境很好(8)价格实惠(6)回头客(5)撸串圣地(4)菜品卖相不佳(7)分量少(7)上菜慢(4)性价比低(3)","鸡脆骨","呼伦贝尔羊肉串","烤榴莲"
"1590846528-296","https://gz.meituan.com/meishi/pn48/","皇茶真韵（嘉禾望岗店）","皇茶真韵（嘉禾望岗店）4分530条评论白云区嘉禾街道嘉禾望岗地铁B出口润林商业中心一楼97-98号铺（嘉禾望岗地铁站B出口）人均￥13","https://www.meituan.com/meishi/40498521/","4分","13","530","地址：白云区嘉禾街道嘉禾望岗地铁B出口润林商业中心一楼97-98号铺（嘉禾望岗地铁站B出口）","18922270105","营业时间：周一至周日 09:30-22:30","提供wifi","广州饮品店","服务热情(92)味道赞(74)饮品赞(45)回头客(32)交通便利(30)上菜快(7)分量足(7)菜品精致(5)下午茶(5)到店自提(1)","百香果茶","云南珍珠奶茶","鸡蛋布丁奶茶"
"1590852011-878","https://gz.meituan.com/meishi/pn7/","星河湾酒店","星河湾酒店4.6分1291条评论番禺区番禺大道北1号星河湾酒店自助餐厅人均￥276","https://www.meituan.com/meishi/630090/","4.6分","276","1291","地址：番禺区番禺大道北1号星河湾酒店自助餐厅","020-39933618","营业时间：周一至周日 06:00-10:00 18:00-21:30","提供wifi","广州自助餐","高大上(62)回头客(57)不用排队(25)海鲜棒(21)停车方便(7)朋友聚餐(3)家庭聚餐(3)到店自提(1)上菜慢(6)交通不便(3)","烧生蚝","煎大虾","三文鱼刺身"
"1590846150-256","https://gz.meituan.com/meishi/pn50/","广州阳光酒店餐厅（员村店）","广州阳光酒店餐厅（员村店）3.9分944条评论天河区黄埔大道中199号广州阳光酒店内人均￥151","https://www.meituan.com/meishi/1216299/","3.9分","151","944","地址：天河区黄埔大道中199号广州阳光酒店内","020-38169220","营业时间：周一至周日 10:00-22:00","提供wifi","广州自助餐","高大上(29)回头客(23)肉类好(12)海鲜棒(10)不用排队(4)停车方便(4)上菜快(3)家庭聚餐(4)朋友聚餐(3)店内消毒(1)","刺身","海鲜炒乌冬","抹茶红豆布丁"
"1590848149-472","https://gz.meituan.com/meishi/pn36/","西湖公馆（先烈中路店）","西湖公馆（先烈中路店）4.3分764条评论越秀区先烈中路85号浙江大厦3楼（近黄花岗公园）人均￥65","https://www.meituan.com/meishi/1711673/","4.3分","65","764","地址：越秀区先烈中路85号浙江大厦3楼（近黄花岗公园）","020-37661998","营业时间：周一至周日 11:00-14:00 17:00-21:30","提供wifi停车位","广州江浙菜","回头客(61)菜品精致(48)上菜快(39)高大上(6)海鲜棒(5)停车方便(4)家庭聚餐(5)请客(4)朋友聚餐(3)到店自提(2)","南宋东坡肉","糖醋小排","桂花糖藕"
"1590843766-38","https://gz.meituan.com/meishi/pn65/","美森西餐厅（曙光大道店）","美森西餐厅（曙光大道店）3.8分460条评论花都区新华街曙光路与紫微路交界东富大酒店二楼（承接到会自助餐宴服务）人均￥73","https://www.meituan.com/meishi/631639/","3.8分","73","460","地址：花都区新华街曙光路与紫微路交界东富大酒店二楼（承接到会自助餐宴服务）","020-36896696","营业时间：周一至周日 11:00-22:30","提供wifi停车位","广州西餐","环境很好(88)味道赞(73)回头客(32)分量足(27)上菜快(21)菜品精致(19)停车方便(4)下午茶(4)到店自提(3)店内消毒(2)","牛油香煎越南虎虾拼三角肥牛扒","焦糖布丁","生炒牛肉饭"
"1590848814-542","https://gz.meituan.com/meishi/pn31/","蓉鱼（江南大道店）","蓉鱼（江南大道店）3.9分7733条评论海珠区江南大道中255号前座二-三层人均￥54","https://www.meituan.com/meishi/42653566/","3.9分","54","7733","地址：海珠区江南大道中255号前座二-三层","020-34142260","营业时间：周一至周日 11:00-14:00 17:00-23:00","提供wifi","广州川湘菜","上菜快(528)回头客(337)不用排队(113)到店自提(68)朋友聚餐(13)文艺清新(7)下午茶(4)深夜食堂(4)闺蜜聚会(4)店内消毒(1)","花椒疯了酸菜鲈鱼","红汤酸菜鱼","桂花蜜豆腐花"
"1590844516-117","https://gz.meituan.com/meishi/pn60/","高高在上海景餐厅","高高在上海景餐厅3.7分256条评论南沙区港前大道南世贸大厦21楼人均￥53","https://www.meituan.com/meishi/645436/","3.7分","53","256","地址：南沙区港前大道南世贸大厦21楼","020-39066668","营业时间：周一至周日 07:00-09:30 12:00-14:00 18:00-21:30","提供wifi停车位","南沙其他美食","环境很好(87)味道赞(34)服务热情(34)高大上(28)性价比高(16)回头客(10)点心好(5)菜品少(25)分量少(5)价格高(3)","吞拿鱼紫菜炒饭","杏鲍菇法国鹅肝炒雪花牛肉粒","黑松露虾仁炒滑蛋"
"1590848663-526","https://gz.meituan.com/meishi/pn32/","榕记（番禺总店）","榕记（番禺总店）3.8分1444条评论番禺区桥兴大道431号二楼人均￥98","https://www.meituan.com/meishi/627482/","3.8分","98","1444","地址：番禺区桥兴大道431号二楼","020-34813660/13312816388","营业时间：周一至周日 11:00-24:00","提供wifi停车位","广州其他美食","上菜快(51)菜品精致(51)回头客(47)停车方便(38)肉类好(15)交通便利(11)不用排队(4)高大上(3)到店自提(8)家庭聚餐(3)","姜油三品皇","龙凤龟煲","盐焗水律鹅亦"
"1590846966-342","https://gz.meituan.com/meishi/pn45/","四季堂（汀沙街店）","四季堂（汀沙街店）3.9分1929条评论番禺区桥兴大道124号（市桥地铁D出口往南50米，百越广东门对面）人均￥40","https://www.meituan.com/meishi/1718314/","null","null","null","null","null","null","null","null","null","null","null","null"
"1590850908-762","https://gz.meituan.com/meishi/pn15/","波将军正宗桂林米粉（岗贝店）","波将军正宗桂林米粉（岗贝店）4分3126条评论白云区岗贝路130号A1铺人均￥14","https://www.meituan.com/meishi/41321194/","4分","14","3126","地址：白云区岗贝路130号A1铺","18922263545","营业时间：周一至周日 10:00-24:00","提供wifi","广州小吃快餐","回头客(210)上菜快(106)菜品精致(90)交通便利(68)不用排队(33)到店自提(30)店内消毒(12)下午茶(4)朋友聚餐(4)现做现卖(3)","正宗锅烧粉","正宗桂林米粉双拼","正宗牛肉粉"
"1590845918-232","https://gz.meituan.com/meishi/pn52/","挂绿园酒家","挂绿园酒家4.5分1552条评论增城市增派大道北1号人均￥49","https://www.meituan.com/meishi/620041/","4.5分","49","1552","地址：增城市增派大道北1号","020-82746228","营业时间：周一至周日 07:00-14:00 17:00-20:00","提供wifi停车位","广州粤港菜","菜品精致(37)上菜快(30)停车方便(16)回头客(9)高大上(6)不用排队(3)到店自提(7)请客(6)家庭聚餐(3)店内消毒(1)","挂绿第一鸡","荔枝朩烧鹅","挂绿第壹包"
"1590843748-36","https://gz.meituan.com/meishi/pn65/","贡茶（永泰B2出口店）","贡茶（永泰B2出口店）5分1906条评论白云区永平街同泰路自编97号佳兴商业中心一楼17、18号人均￥14","https://www.meituan.com/meishi/42300967/","5分","14","1906","地址：白云区永平街同泰路自编97号佳兴商业中心一楼17、18号","13826116237/15919310209","营业时间：周一至周日 10:00-23:00","提供wifi停车位","广州饮品店","服务热情(82)味道赞(44)饮品赞(34)价格实惠(32)回头客(31)交通便利(21)不用排队(8)上菜快(7)下午茶(5)到店自提(2)","熊猫奶盖茶","京都抹茶奶盖","辛巴莓莓"
"1590850850-756","https://gz.meituan.com/meishi/pn16/","杏枝甜品店","杏枝甜品店4.8分1059条评论番禺区番禺区沙头街禺山西路651号（大夫山森林公园南门斜对面）人均￥14","https://www.meituan.com/meishi/40090820/","4.8分","14","1059","地址：番禺区番禺区沙头街禺山西路651号（大夫山森林公园南门斜对面）","13711117530","营业时间：周一至周日 09:00-21:00","null","广州饮品店","味道赞(132)饮品赞(89)回头客(72)上菜快(17)分量足(13)菜品健康(7)交通便利(6)点心好(3)到店自提(13)现做现卖(8)","莲子姜撞奶","水牛奶芋圆","窝蛋双皮奶"
"1590847934-450","https://gz.meituan.com/meishi/pn37/","琳琅浩俊蛋糕店（迎宾店）","琳琅浩俊蛋糕店（迎宾店）3.9分1729条评论花都区新华街迎宾大道7号C，D,1D2栋39号人均￥15","https://www.meituan.com/meishi/1719319/","3.9分","15","1729","地址：花都区新华街迎宾大道7号C，D,1D2栋39号","020-86889682","营业时间：周一至周日 06:30-23:30","提供wifi","广州生日蛋糕","味道赞(310)点心好(188)回头客(89)菜品精致(33)分量足(16)上菜快(7)交通便利(6)高大上(5)不用排队(4)到店自提(3)","榴莲千层冻饼","提拉米苏生日蛋糕","芒果千层冻饼"
"1590851209-794","https://gz.meituan.com/meishi/pn13/","御可贡茶（龙骏广场店）","御可贡茶（龙骏广场店）4.2分2257条评论白云区增槎路龙骏广场1068号人均￥14","https://www.meituan.com/meishi/51135325/","4.2分","14","2257","地址：白云区增槎路龙骏广场1068号","18302066514","营业时间：周一至周日 10:00-22:00","提供wifi","广州饮品店","饮品赞(113)回头客(111)上菜快(44)分量足(38)菜品精致(28)不用排队(13)交通便利(8)到店自提(6)下午茶(3)朋友聚餐(3)","抹茶奶盖茶","芒果寒天绿茶","芝士珍珠奶盖茶"
